ClassUtil,Statement_Coverage,Branch,CC,LOC,Mutation
GroupCommand,0.81,0.5,10,17,0.67
InputValidator,0.78,0.73,20,38,0.63
Installer,0,0,23,104,0
PageCommand,0.9,0.5,10,28,0.67
RedirectCommand,0.64,0.33,8,11,0.43
TemplateManager,0,0,70,172,0
WikiCommand,0.95,0.75,10,25,0.86
WikiJSPFilter,0,0,18,66,0
WikiRequestWrapper,0.12,0,13,23,0
WikiServletFilter,0.54,0.66,16,48,0.46
DefaultAdminBeanManager,0.58,0.45,30,98,0.64
SimpleAdminBean,0.05,0,7,22,0
ModuleBean,0.98,0.66,10,22,0.88
PlainEditorAdminBean,0.27,0,16,25,0.29
SearchManagerBean,0.29,0,12,22,0.2
UserBean,0.07,0,13,45,0.13
ProgressManager,0.21,0,8,18,0.08
DefaultURLConstructor,0.79,0.54,22,40,0.63
ShortURLConstructor,0.36,0.34,39,69,0.33
ShortViewURLConstructor,0.77,0.65,15,19,0.59
ByteUtils,0.8,0.63,16,23,0.85
ClassUtil,0.78,0.79,33,111,0.72
CommentedProperties,0.74,0.5,27,66,0.82
CryptoUtil,0.85,0.67,21,58,0.83
FileUtil,0.46,0.25,21,79,0.46
FormUtil,0,0,22,44,0
HttpUtil,0.23,0.21,28,46,0.32
MailUtil,0.54,0.4,26,81,0.74
PriorityList,0.9,1,7,16,0.78
PropertiesUtils,0,0,19,48,0
PropertyReader,0.42,0.52,33,113,0.43
TextUtil,0.88,0.83,112,222,0.86
TimedCounterList,0.59,0.87,13,47,0.43
XhtmlUtil,0.42,0.26,25,43,0.43
XmlUtil,0.71,1,8,32,1
CollatorComparator,0.6,0.5,8,16,0.43
HumanComparator,0.8,0.73,53,92,0.77
JavaNaturalComparator,0.76,0.5,6,9,0.57
PageTimeComparator,0.51,0.6,8,17,0.7
AbstractStep,0.78,0.62,27,52,0.74
Decision,0.92,0.83,17,33,0.94
DecisionQueue,0.96,0.81,16,34,1
Outcome,0.89,0.75,14,27,0.81
Workflow,0.93,0.88,65,142,0.88
WorkflowBuilder,1,0.88,13,37,1
WorkflowManager,0.66,0.47,35,75,0.71
AbstractRPCHandler,0.25,0.12,9,22,0.1
MetaWeblogHandler,0,0,19,113,0
RPCHandler,0.69,0.61,31,100,0.54
RPCHandlerUTF8,0,0,26,91,0
RPCServlet,0,0,8,42,0
