Name,Statement,Branch,Complexity,Mutation
StaticBucketMap,0.93 ,0.85 ,56.00 ,0.00 
TransformedMap,0.99 ,0.83 ,18.00 ,0.91 
TransformedSortedMap,1.00 ,0.50 ,11.00 ,0.00 
UnmodifiableEntrySet,0.98 ,0.83 ,17.00 ,0.16 
UnmodifiableMap,0.75 ,0.50 ,14.00 ,0.58 
UnmodifiableOrderedMap,1.00 ,1.00 ,13.00 ,0.70 
UnmodifiableSortedMap,0.69 ,1.00 ,18.00 ,0.60 
AbstractMultiValuedMap,0.79 ,0.74 ,58.00 ,0.07 
AbstractMultiValuedMapDecorator,0.79 ,1.00 ,26.00 ,0.08 
ArrayListValuedHashMap,0.58 ,0.00 ,10.00 ,0.14 
TransformedMultiValuedMap,0.93 ,0.80 ,19.00 ,0.00 
UnmodifiableMultiValuedMap,0.69 ,1.00 ,17.00 ,0.20 
AbstractMapMultiSet,0.96 ,0.89 ,45.00 ,0.18 
AbstractMultiSet,0.42 ,0.41 ,45.00 ,0.00 
AbstractMultiSetDecorator,0.50 ,1.00 ,13.00 ,0.18 
PredicatedMultiSet,0.86 ,1.00 ,13.00 ,0.21 
SynchronizedMultiSet,0.86 ,1.00 ,13.00 ,0.25 
UnmodifiableMultiSet,0.77 ,1.00 ,17.00 ,0.20 
SortedProperties,1.00 ,1.00 ,3.00 ,1.00 
CircularFifoQueue,0.92 ,0.91 ,45.00 ,0.93 
SynchronizedQueue,0.95 ,1.00 ,12.00 ,0.09 
TransformedQueue,1.00 ,0.75 ,11.00 ,0.91 
UnmodifiableQueue,0.88 ,1.00 ,15.00 ,0.63 
EditScript,0.95 ,1.00 ,8.00 ,0.67 
ReplacementsFinder,0.00 ,0.00 ,6.00 ,0.00 
SequencesComparator,0.99 ,0.96 ,47.00 ,0.95 
AbstractSetDecorator,0.88 ,1.00 ,7.00 ,1.00 
CompositeSet,0.95 ,0.92 ,61.00 ,0.92 
ListOrderedSet,0.96 ,0.91 ,40.00 ,0.91 
MapBackedSet,0.96 ,0.90 ,23.00 ,1.00 
PredicatedSet,1.00 ,1.00 ,7.00 ,1.00 
TransformedNavigableSet,0.57 ,0.00 ,17.00 ,0.00 
TransformedSet,1.00 ,0.87 ,9.00 ,0.89 
TransformedSortedSet,0.57 ,0.00 ,12.00 ,0.00 
UnmodifiableNavigableSet,1.00 ,1.00 ,20.00 ,0.00 
UnmodifiableSet,1.00 ,1.00 ,10.00 ,0.75 
UnmodifiableSortedSet,1.00 ,1.00 ,15.00 ,0.00 
AbstractIterableGetMapDecorator,0.73 ,0.50 ,18.00 ,0.71 
TransformedSplitMap,0.79 ,0.62 ,15.00 ,0.67 
AbstractBitwiseTrie,0.86 ,0.75 ,20.00 ,0.03 
AbstractPatriciaTrie,0.69 ,0.66 ,199.00 ,0.00 
